Title,ID
Inception,tt1375666
Shutter Island,tt1130884
Toy Story 3,tt0435761
Iron Man 2,tt1228705
Black Swan,tt0947798
How to Train Your Dragon,tt0892769
The King's Speech,tt1504320
The Social Network,tt1285016
Kick-Ass,tt1250777
Despicable Me,tt1323594
Harry Potter and the Deathly Hallows: Part 1,tt0926084
Tangled,tt0398286
Alice in Wonderland,tt1014759
Scott Pilgrim vs. the World,tt0446029
Easy A,tt1282140
The Town,tt0840361
127 Hours,tt1542344
The Fighter,tt0964517
The Expendables,tt1320253
Due Date,tt1231583
Tron,tt1104001
True Grit,tt1403865
Salt,tt0944835
The Book of Eli,tt1037705
RED,tt1245526
Insidious,tt1591095
Prince of Persia: The Sands of Time,tt0473075
Clash of the Titans,tt0800320
Robin Hood,tt0955308
The A-Team,tt0429493
The Other Guys,tt1386588
Grown Ups,tt1375670
Megamind,tt1001526
The Twilight Saga: Eclipse,tt1325004
The Tourist,tt1243957
Predators,tt1424381
Machete,tt0985694
Unstoppable,tt0477080
Shrek Forever After,tt0892791
Blue Valentine,tt1120985
The Next Three Days,tt1458175
Love & Other Drugs,tt0758752
Knight and Day,tt1013743
Percy Jackson & the Olympians: The Lightning Thief,tt0814255
Get Him to the Greek,tt1226229
Hot Tub Time Machine,tt1231587
Resident Evil: Afterlife,tt1220634
The Karate Kid,tt1155076
The Sorcerer's Apprentice,tt0963966
The Last Airbender,tt0938283
Date Night,tt1279935
Buried,tt1462758
The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970
Dear John,tt0989757
Remember Me,tt1403981
Winter's Bone,tt1399683
It's Kind of a Funny Story,tt0804497
Devil,tt1314655
Green Zone,tt0947810
She's Out of My League,tt0815236
The Kids Are All Right,tt0842926
Life as We Know It,tt1055292
The Bounty Hunter,tt1038919
Let Me In,tt1228987
Valentine's Day,tt0817230
From Paris with Love,tt1179034
The Crazies,tt0455407
The Way Back,tt1023114
Little Fockers,tt0970866
The Wolfman,tt0780653
Repo Men,tt1053424
Dinner for Schmucks,tt0427152
Faster,tt1433108
Legion,tt1038686
Paranormal Activity 2,tt1536044
Wall Street: Money Never Sleeps,tt1027718
My Name Is Khan,tt1188996
The Switch,tt0889573
Leap Year,tt1216492
A Nightmare on Elm Street,tt1179056
Letters to Juliet,tt0892318
The American,tt1440728
The Losers,tt0480255
Hereafter,tt1212419
Saw 3D,tt1477076
Edge of Darkness,tt1226273
Eat Pray Love,tt0879870
Beginners,tt1532503
Killers,tt1103153
Skyline,tt1564585
Piranha 3D,tt0464154
Submarine,tt1440292
Cop Out,tt1385867
Unthinkable,tt0914863
Flipped,tt0817177
The Last Song,tt1294226
Burlesque,tt1126591
Centurion,tt1020558
Legend of the Guardians: The Owls of Ga'Hoole,tt1219342
I Spit on Your Grave,tt1242432
Super,tt1512235
Sex and the City 2,tt1261945
Morning Glory,tt1126618
Frozen,tt1323045
Gulliver's Travels,tt1320261
The Debt,tt1226753
When in Rome,tt1185416
Charlie St. Cloud,tt1438254
Takers,tt1135084
Going the Distance,tt1322312
Step Up 3D,tt1193631
Jonah Hex,tt1075747
All Good Things,tt1175709
The Experiment,tt0997152
Hesher,tt1403177
You Again,tt1414382
The Back-up Plan,tt1212436
The Last Exorcism,tt1320244
Everything Must Go,tt1531663
Rabbit Hole,tt0935075
Don't Be Afraid of the Dark,tt1270761
How Do You Know,tt1341188
Death at a Funeral,tt1321509
Last Night,tt1294688
Fair Game,tt0977855
Vampires Suck,tt1666186
London Boulevard,tt1213648
The Runaways,tt1017451
You Will Meet a Tall Dark Stranger,tt1182350
The Company Men,tt1172991
Somewhere,tt1421051
Diary of a Wimpy Kid,tt1196141
